name,url,commit,options
excel,,,
fts,,,
httpfs,,,
icu,,,
json,,,
parquet,,,
tpcds,,,
tpch,,,
visualizer,,,
sqlite_scanner,https://github.com/duckdblabs/sqlite_scanner,fda367b8176b8a64d61bab261e808f56a490da6d,
postgres_scanner,https://github.com/duckdblabs/postgres_scanner,70a6eb867207599e6cb9225d22f09c55d973dd00,
substrait,https://github.com/duckdblabs/substrait,f71ae98a8d4fc76aa670a9b35b56a7e273729755,no-windows
arrow,https://github.com/duckdblabs/arrow,c3538b95b9d4fb1ca41c579303fd4970c9182199,no-windows
