c_custkey|c_name|revenue|c_acctbal|n_name|c_address|c_phone|c_comment
8242|Customer#000008242|622786.7297|6322.09|ETHIOPIA|cYDWDiJt06B8CYzXX2L8x2hn1VFG|15-792-676-1184|slyly regular packages haggle carefully ironic ideas. courts are furiously. furiously unusual theodolites cajole. i
7714|Customer#000007714|557400.3053|9799.98|IRAN|9DDikq08GEE4B3X|20-922-418-6024|arhorses according to the blithely express re
11032|Customer#000011032|512500.9641|8496.93|UNITED KINGDOM|5igjoUgXoDUZVUIectL5lXO1T3AGKza0ft|33-102-772-3533|posits-- furiously ironic accounts are again
2455|Customer#000002455|481592.4053|2070.99|GERMANY|a5DZ199yfAcFhfi2uwBE PKo,Z|17-946-225-9977|al asymptotes. finally ironic accounts cajole furiously. permanently unusual theodolites aro
12106|Customer#000012106|479414.2133|5342.11|UNITED STATES|wyJXywcExUxt|34-905-346-4472|ly after the blithely regular foxes. accounts haggle carefully alongside of the blithely even ideas.
8530|Customer#000008530|457855.9467|9734.95|MOROCCO|leatyNRWCnfTMnTNuDGHsWJjRuAX|25-736-932-5850|slyly asymptotes. quickly final deposits in
13984|Customer#000013984|446316.5104|3482.28|IRAN|B13vxRBojwvP3|20-981-264-2952|y unusual courts could wake furiously
1966|Customer#000001966|444059.0382|1937.72|ALGERIA|IbwZr7j QVifqf9WizOIWx,UXV9CqxUyrwj|10-973-269-8886|the blithely even accounts. final deposits cajole around the blithely final packages. 
11026|Customer#000011026|417913.4142|7738.76|ALGERIA|4C iGzChcqnhGBdeeu|10-184-163-4632|ly even dolphins eat along the blithely even instructions. express attainments cajole slyly. busy dolphins in
8501|Customer#000008501|412797.51|6906.7|ARGENTINA|UTUQLX cQrF1UUJPsz|11-317-552-5840|y final deposits after the fluffily even accounts are slyly final, regular
1565|Customer#000001565|412506.0062|1820.03|BRAZIL|n4acVpG0Deyj5aIFAfSNg Iu9cUagwN3OsRbKC 4|12-402-178-2007|ously regular accounts wake slyly ironic idea
14398|Customer#000014398|408575.36|-602.24|UNITED STATES|l49oKjbjQHz6YZwjo5wPihM lyYO6G|34-814-111-5424|s. blithely even accounts cajole blithely. even foxes doubt-- 
1465|Customer#000001465|405055.3457|9365.93|INDIA|zn9Q7pT6KlQp3T5mUO533aq,|18-807-487-1074|s lose blithely ironic, regular packages. regular, final foxes haggle c
12595|Customer#000012595|401402.2391|-6.92|INDIA|gEMQ3WO90vSdAgxLFrt9FRS|18-186-132-3352|o the busy accounts. blithely special gifts maintain a
961|Customer#000000961|401198.1737|6963.68|JAPAN|W0SZ2oflx9aWTggtwSk3OEIXsubXTbGbD|22-989-463-6089|e final requests: busily final accounts believe a
14299|Customer#000014299|400968.3751|6595.97|RUSSIA|UFlOs8tQ,IfZPJm57|32-156-618-1224| carefully regular requests. quickly ironic accounts against the ru
623|Customer#000000623|399883.4257|7887.6|INDONESIA|k3IlPSC4FKB13 hc6omhVs1ibvqeWEV|19-113-202-7085| requests. dolphins above the busily regular dependencies cajole after
9151|Customer#000009151|396562.0295|5691.95|IRAQ|UKiN9OQupR,m5NtvSntbI8JBeo|21-834-147-4906|ajole fluffily. furiously regular accounts are special, silent account
14819|Customer#000014819|396271.1036|7308.39|FRANCE|wS8yiQtE63FfoO6RKUzuVf6iBTmXBq16u|16-769-398-7926|ss, final asymptotes use furiously slyly ironic dependencies. special, express dugouts according to the dep
13478|Customer#000013478|395513.1358|-778.11|KENYA|S5izwjM1 hCoUccO2JMepYwNyBSqI,ay|24-983-202-8240|r theodolites. slyly unusual pinto beans sleep fluffily against the asymptotes. quickly r
