ps_partkey|value
12098|16227681.21
5134|15709338.52
13334|15023662.41
17052|14351644.20
3452|14070870.14
12552|13332469.18
1084|13170428.29
5797|13038622.72
12633|12892561.61
403|12856217.34
1833|12024581.72
2084|11502875.36
17349|11354213.05
18427|11282385.24
2860|11262529.95
17852|10934711.93
9871|10889253.68
12231|10841131.39
6366|10759786.81
12146|10257362.66
5043|10226395.88
12969|10125777.93
1504|10004397.08
14327|9981697.08
134|9965150.66
6860|9805871.26
10624|9776138.40
15819|9775705.31
3293|9674928.12
19865|9653766.83
8870|9648981.87
15778|9636332.82
12360|9635023.92
14389|9475588.34
3257|9451029.24
9476|9435207.28
19629|9391236.40
7179|9386222.25
15723|9383900.80
4054|9313810.02
2380|9307751.22
19084|9302916.80
4703|9280804.80
18791|9267017.97
19994|9235972.92
9149|9121803.90
15118|9120819.50
6116|9079369.20
7052|9077468.92
14147|9069193.78
7305|9035228.53
9130|9024379.25
16698|8991337.95
1553|8977226.10
16777|8961355.62
1402|8953779.12
18963|8934063.40
8358|8930611.48
17547|8860117.00
5128|8844222.75
17063|8840649.60
15490|8833581.40
14761|8817240.56
19601|8791341.02
16160|8740262.76
13597|8702669.82
13653|8693170.16
16383|8691505.92
325|8667741.28
8879|8667584.38
10564|8667098.22
17429|8661827.90
17403|8643350.30
18294|8616583.43
4181|8592684.66
13008|8567480.64
13211|8537000.01
1884|8532644.34
11101|8530945.32
11562|8528028.57
15878|8523591.84
834|8522135.27
2423|8517902.85
15383|8513433.11
18119|8507611.80
7389|8506099.20
5016|8489784.15
17473|8444766.24
6669|8428618.46
384|8418472.27
12052|8411519.28
17562|8409022.83
8128|8379149.47
13813|8374830.84
12800|8318626.78
10887|8315019.36
1644|8285453.08
16638|8274568.00
1394|8255140.60
7219|8254985.30
13358|8253829.80
5562|8252365.16
14861|8242296.15
15416|8196621.53
1963|8192206.61
2841|8148678.45
6635|8122918.28
3609|8099812.05
6372|8093695.06
5231|8091704.18
8755|8085017.03
4071|8083755.18
4977|8058501.72
11873|8057540.30
12127|8051142.94
2401|8049525.94
15964|8037547.75
