c_custkey|c_name|revenue|c_acctbal|n_name|c_address|c_phone|c_comment
679|Customer#000000679|378211.3252|1394.44|IRAN|jhLZlG1fRiSE0 wDLOCguVB96dH6a5|20-146-696-9508|oys. furiously silent pinto beans
1201|Customer#000001201|374331.5340|5165.39|IRAN|gLo85h4Cst5ckn40ZKR6403KjW26YCWAFZsq d|20-825-400-1187|r foxes boost blithely final accounts. furiously silent ideas unwind. blithely even dependencies wake slyly; sly
422|Customer#000000422|366451.0126|-272.14|INDONESIA|rtds1qwEinDWYhyIbRusRgXBDxGJraP,C,S zDwA|19-299-247-2444| are carefully. slyly regular requests hag
334|Customer#000000334|360370.7550|-405.91|EGYPT|dbdZdUyWQaZX7DoCO|14-947-291-5002|r, bold pinto beans according to the blithely final theodolites can snooze slyly even packages. carefully ironic acc
805|Customer#000000805|359448.9036|511.69|IRAN|woguVtOjwvC8LLtPRALISNwAOFRf70Pfqk|20-732-989-5653| quickly unusual accounts haggle carefully after the even accounts. deposits cajole carefully bravely spec
932|Customer#000000932|341608.2753|6553.37|JORDAN|kdRqB0ezhkUePSc|23-300-708-7927|ound the regular accounts. quickly ironic requests try to 
853|Customer#000000853|341236.6246|-444.73|BRAZIL|7,rRbAvqK4hSqm,ljEDolyjRp8Mu44xSTG|12-869-161-3468|l foxes affix. furiously regular foxes
872|Customer#000000872|338328.7808|-858.61|PERU|xfbTIe1pgWq0jqdm7gQP6iXqcs2RcSk|27-357-139-7164|unts believe across the ironic instructions. packages nag re
737|Customer#000000737|338185.3365|2501.74|CHINA|eNHkZHYWXIpf8Ct,F2Aej BwxkZ6LTW|28-658-938-1102|ackages. blithely daring packages detect slyly around the carefully busy excuses. f
1118|Customer#000001118|319875.7280|4130.18|IRAQ|bjK0newm53R2CoNAtvQsIqh|21-583-715-8627|ecial sentiments. express deposits across the blithely express packages wake quickly across the attainments. platele
223|Customer#000000223|319564.2750|7476.20|SAUDI ARABIA|MyQxUcG0P QCetmG00GlF|30-193-643-1517|xcuses. silent theodolites across the carefully bold excuses sleep ironic, final courts. regular excuses
808|Customer#000000808|314774.6167|5561.93|ROMANIA|9Y4G8hokyDQJOlcCUe4OypX smFlME6d Kr|29-531-319-7726|usual pinto beans use carefully. express ideas boost. ironic, ironic Tir
478|Customer#000000478|299651.8026|-210.40|ARGENTINA|PFtAWWSniG43yWAgtjFPN0DrhyMCDIm|11-655-291-2694|even asymptotes haggle carefully slyl
1441|Customer#000001441|294705.3935|9465.15|UNITED KINGDOM|y,221QWUv0CvgCVkRwsrOUpRshWpcjKkrHu|33-681-334-4499|ccounts are furiously above the slyly even foxes. furiously even requests hagg
1478|Customer#000001478|294431.9178|9701.54|GERMANY|vTjnwinnB9YeA1VxKYoQELaZJm,HW|17-420-484-5959|nal instructions. quickly regular excuses haggle after the sl
211|Customer#000000211|287905.6368|4198.72|JORDAN|79JF5cssWlB3ME|23-965-335-9471|unusual requests haggle after the unusual, ironic ideas. ironic orbits hinder carefully quickly final p
197|Customer#000000197|283190.4807|9860.22|ARGENTINA|7M5Az MBdx4Ey1XTn|11-107-312-6585|latelets doze fluffily blithely final dep
1030|Customer#000001030|282557.3566|6359.27|INDIA|4ByZpJpVJRD|18-759-877-1870| the final accounts. quick platelets are carefully. instructions a
1049|Customer#000001049|281134.1117|8747.99|INDONESIA|Q1ZcOmJjQi2VKeIk|19-499-258-2851|sleep carefully final deposits. furiously bold depo
1094|Customer#000001094|274877.4440|2544.49|BRAZIL|dls,MNN7EbF3GYrY3eRwSeOBZYd5o,cg|12-234-721-9871|structions among the furiously final pinto beans haggle fluffily 
