w_warehouse_name|i_item_id|inv_before|inv_after
Conventional childr|AAAAAAAAANAEAAAA|2627|1999
Conventional childr|AAAAAAAAJHFEAAAA|2610|2108
Conventional childr|AAAAAAAAOGBEAAAA|1193|1280
Detailed, literary t|AAAAAAAAANAEAAAA|1657|2162
Detailed, literary t|AAAAAAAAJDHDAAAA|3234|2838
Detailed, literary t|AAAAAAAAJHFEAAAA|2220|1959
Of course ot|AAAAAAAAANAEAAAA|2080|1669
Of course ot|AAAAAAAAFEMBAAAA|2611|2515
Of course ot|AAAAAAAAJHFEAAAA|2354|2404
Of course ot|AAAAAAAAOGBEAAAA|2173|2857
Social, royal laws m|AAAAAAAAANAEAAAA|2918|3324
Social, royal laws m|AAAAAAAAFEMBAAAA|2820|2561
Social, royal laws m|AAAAAAAAJDHDAAAA|1644|1822
Social, royal laws m|AAAAAAAAJHFEAAAA|3361|2289
Social, royal laws m|AAAAAAAAOGBEAAAA|1506|1145
Terms overcome instr|AAAAAAAAANAEAAAA|2560|2779
Terms overcome instr|AAAAAAAABALBAAAA|2722|2506
Terms overcome instr|AAAAAAAAJDHDAAAA|2419|2506
Terms overcome instr|AAAAAAAAJHFEAAAA|3162|2383
Terms overcome instr|AAAAAAAAOGBEAAAA|2316|2142
