customer_id|customername
AAAAAAAAAAPDAAAA|Benson, Floyd
AAAAAAAAAAPDAAAA|Benson, Floyd
AAAAAAAACBNCBAAA|Ferraro, Timothy
AAAAAAAADMMCBAAA|Sandoval, Rosemary
AAAAAAAAEDFBAAAA|Smallwood, Betty
AAAAAAAAEEGCBAAA|Mattson, Alyson
AAAAAAAAGLHFBAAA|Fisher, David
AAAAAAAAIANKAAAA|Nelson, William
AAAAAAAAIAODBAAA|Murray, Karen
AAAAAAAAJFJGBAAA|Wing, Deborah
AAAAAAAALCLABAAA|Whitaker, Lettie
AAAAAAAAMGLBAAAA|Johnson, Wendy
AAAAAAAAMKIFBAAA|Evans, Marianna
AAAAAAAAMPPAAAAA|Cunningham, Katrina
AAAAAAAAOLANAAAA|Bostick, Eric
AAAAAAAAPKABAAAA|Jones, Terri
