c_last_name|c_first_name|ca_city|bought_city|ss_ticket_number|extended_price|extended_tax|list_price
NULL|NULL|Unionville|Woodlawn|70|15617.02|1059.20|35200.10
NULL|NULL|Midway|Oakwood|11488|16050.99|361.53|25084.90
NULL|Rene|Caledonia|Stringtown|16638|18982.21|851.66|61572.90
NULL|John|Parkwood|Edgewood|24159|27211.89|1604.38|43810.22
NULL|Ana|Deerfield|Jamestown|26329|29588.22|1896.98|44933.70
NULL|Kent|Wilson|Mountain View|27855|6056.95|364.49|33702.67
NULL|Rene|Caledonia|Spring Valley|30016|33809.93|1774.76|50200.07
NULL|NULL|Clinton|Redland|36631|18294.15|828.86|48252.58
NULL|Donna|Oak Hill|Sulphur Springs|36870|33229.68|907.76|54501.43
NULL|NULL|Sunnyside|Newtown|40831|33108.47|1069.05|52500.53
NULL|Karen|Greenfield|Friendship|40841|16463.34|422.03|32375.62
NULL|NULL|Shiloh|Oakland|46266|12854.97|273.81|36292.72
NULL|Joshua|Lakeside|Highland Park|46736|28890.40|1493.83|46182.44
NULL|NULL|Newport|Bunker Hill|47193|13889.47|483.83|35637.42
NULL|NULL|Guilford|Wildwood|49651|15693.84|454.60|29538.50
NULL|NULL|Leon|Five Points|50330|40167.73|1682.75|56198.72
NULL|NULL|Salem|Mount Pleasant|50365|18228.49|831.00|37713.88
NULL|NULL|Brownsville|Walnut Grove|53883|14709.49|173.84|30359.86
NULL|NULL|Shelby|Clifton|54573|17992.16|539.08|28633.01
NULL|Larry|Oak Hill|Five Points|54597|23089.71|325.91|53696.82
NULL|NULL|Dallas|Shady Grove|55706|12701.55|394.67|23287.65
NULL|Tabatha|Harmony|Greenfield|56102|18215.83|661.35|30860.74
NULL|Shannon|Brownsville|Deerfield|57279|10989.61|278.14|24580.71
NULL|NULL|Centerville|Providence|62604|11309.86|401.70|25488.06
NULL|NULL|Springfield|Florence|77578|19728.18|1275.54|37291.36
NULL|NULL|Fairview|Florence|90439|15148.26|644.76|34824.23
NULL|Lillian|Fairview|Pleasant Hill|90533|11370.78|788.08|30513.94
NULL|NULL|White Oak|Florence|92664|12198.63|448.33|26745.81
NULL|NULL|Morris|Sullivan|97140|17892.16|952.80|40602.97
NULL|Malcolm|Spring Hill|Bridgeport|97846|25404.69|917.66|54757.05
NULL|Andrew|Centerville|Plainview|98661|41902.00|2017.42|86094.03
NULL|James|Riverview|Valley View|99563|6687.50|416.02|18412.89
NULL|Juanita|Waterloo|Georgetown|100509|20296.61|869.64|54777.96
NULL|NULL|Shady Grove|Clifford|103990|14359.18|467.06|24716.94
NULL|NULL|Florence|Spring Hill|104935|25057.07|1261.85|47121.26
NULL|David|Florence|Springdale|108460|19642.52|1168.44|40111.20
NULL|Frank|Riverview|Waterloo|109144|8470.24|554.01|25579.19
NULL|NULL|Buena Vista|Griffin|109500|24830.06|1112.37|50094.52
NULL|NULL|Wilson|Jamestown|111773|13984.56|397.78|30817.04
NULL|Melvin|Woodville|Harmony|115030|16623.59|784.22|26203.10
NULL|Ricky|Stringtown|Glenwood|120194|17864.80|1002.51|45152.49
NULL|John|Fairview|Lakeside|123374|17746.84|986.67|31438.00
NULL|Ralph|Valley View|Harmony|125234|10531.41|700.49|19010.07
NULL|Bernadette|Ashland|Pleasant Grove|134217|25936.51|1321.77|60748.64
NULL|Joseph|Springdale|Lakeside|134343|32300.74|720.33|53828.07
NULL|Lacey|Jamestown|Riverside|134462|5365.29|356.53|14289.43
NULL|Warren|Bunker Hill|Greenville|134828|13619.79|555.80|25054.82
NULL|Gertrude|Greenwood|Macedonia|137410|33974.25|1241.82|49535.24
NULL|NULL|Galena|Sulphur Springs|137765|12123.38|785.49|28248.16
NULL|NULL|Forest Hills|Argyle|139387|15038.27|133.35|31670.31
NULL|James|Shiloh|Wesley|142680|20487.97|1060.04|43644.09
NULL|Susan|Green Acres|Liberty|143399|19682.69|346.83|45296.34
NULL|Willie|Freeport|Wyoming|147738|18873.05|598.33|40546.66
NULL|NULL|Walnut Grove|Willow|147740|15881.09|1040.11|48011.06
NULL|Jack|Oakwood|Liberty|149758|22364.94|938.26|34929.32
NULL|NULL|Pleasant Hill|Waterloo|156554|20347.07|490.11|31447.08
NULL|NULL|Five Points|Tracy|159202|16948.59|761.54|32884.04
NULL|NULL|Glendale|Mount Pleasant|159389|34914.16|692.22|57646.18
NULL|Victor|Providence|Antioch|161524|15107.55|613.92|34455.45
NULL|NULL|Pleasant Grove|Newtown|164893|11443.91|709.71|23340.46
NULL|Raymond|Springfield|Greenfield|174183|25595.12|621.45|59332.81
NULL|NULL|Mount Zion|Greenwood|174923|22313.61|523.07|32055.34
NULL|NULL|Kingston|Wildwood|176614|21589.36|939.06|38415.82
NULL|NULL|Springfield|Jackson|176898|19100.75|702.37|49968.00
NULL|George|Pleasant Grove|Shiloh|179953|13839.05|646.27|30115.84
NULL|NULL|Newtown|Union Hill|186823|10469.81|489.69|24628.50
NULL|Antone|Antioch|Forest Hills|192973|40194.32|1379.77|70621.27
NULL|Violet|Woodlawn|Woodville|193534|25572.81|787.15|41865.05
NULL|Emiko|Liberty|Oakdale|193771|19610.23|681.17|45043.05
NULL|NULL|Mountain View|Deerfield|194436|7432.11|152.61|17920.09
