i_manufact_id|sum_sales|avg_quarterly_sales
827|86.44|320.7675000000000000
827|284.71|320.7675000000000000
827|562.15|320.7675000000000000
360|131.29|404.7475000000000000
360|198.02|404.7475000000000000
360|280.10|404.7475000000000000
360|1009.58|404.7475000000000000
134|230.83|409.0750000000000000
134|240.65|409.0750000000000000
134|493.66|409.0750000000000000
134|671.16|409.0750000000000000
554|93.58|410.3025000000000000
554|229.74|410.3025000000000000
554|293.41|410.3025000000000000
554|1024.48|410.3025000000000000
247|197.83|421.4675000000000000
247|289.54|421.4675000000000000
247|581.69|421.4675000000000000
247|616.81|421.4675000000000000
159|120.70|434.6425000000000000
159|353.38|434.6425000000000000
159|518.45|434.6425000000000000
159|746.04|434.6425000000000000
147|181.75|438.4950000000000000
147|195.77|438.4950000000000000
147|533.13|438.4950000000000000
147|843.33|438.4950000000000000
251|114.98|447.2100000000000000
251|267.24|447.2100000000000000
251|629.28|447.2100000000000000
251|777.34|447.2100000000000000
621|298.05|449.9850000000000000
621|326.67|449.9850000000000000
621|351.73|449.9850000000000000
621|823.49|449.9850000000000000
812|257.48|451.2925000000000000
812|300.17|451.2925000000000000
812|310.62|451.2925000000000000
812|936.90|451.2925000000000000
411|283.52|460.4750000000000000
411|300.30|460.4750000000000000
411|838.08|460.4750000000000000
440|83.69|470.3975000000000000
440|246.92|470.3975000000000000
440|632.40|470.3975000000000000
440|918.58|470.3975000000000000
384|260.62|478.5800000000000000
384|335.90|478.5800000000000000
384|597.89|478.5800000000000000
384|719.91|478.5800000000000000
141|317.22|481.3375000000000000
141|321.08|481.3375000000000000
141|402.50|481.3375000000000000
141|884.55|481.3375000000000000
362|245.25|482.4575000000000000
362|338.36|482.4575000000000000
362|661.31|482.4575000000000000
362|684.91|482.4575000000000000
263|128.41|483.4775000000000000
263|368.82|483.4775000000000000
263|673.46|483.4775000000000000
263|763.22|483.4775000000000000
39|148.89|486.2475000000000000
39|631.88|486.2475000000000000
39|638.33|486.2475000000000000
271|125.04|486.7050000000000000
271|273.79|486.7050000000000000
271|1045.82|486.7050000000000000
235|95.89|486.7100000000000000
235|239.70|486.7100000000000000
235|656.34|486.7100000000000000
235|954.91|486.7100000000000000
242|206.99|488.1300000000000000
242|283.75|488.1300000000000000
242|378.59|488.1300000000000000
242|1083.19|488.1300000000000000
222|201.34|490.5200000000000000
222|260.62|490.5200000000000000
222|363.59|490.5200000000000000
222|1136.53|490.5200000000000000
636|136.44|492.1600000000000000
636|313.40|492.1600000000000000
636|616.29|492.1600000000000000
636|902.51|492.1600000000000000
265|250.61|492.4350000000000000
265|294.58|492.4350000000000000
265|961.77|492.4350000000000000
774|152.61|496.6750000000000000
774|174.65|496.6750000000000000
774|588.02|496.6750000000000000
774|1071.42|496.6750000000000000
860|216.85|496.8325000000000000
860|425.81|496.8325000000000000
860|818.11|496.8325000000000000
955|287.41|498.9525000000000000
955|290.77|498.9525000000000000
955|612.61|498.9525000000000000
955|805.02|498.9525000000000000
9|83.87|500.8600000000000000
9|332.79|500.8600000000000000
