i_item_desc|w_warehouse_name|d_week_seq|no_promo|promo|total_cnt
NULL|Of course ot|5207|0|2|2
Alone rights cannot w|Social, royal laws m|5204|0|2|2
Authorities offer complete, |Social, royal laws m|5212|0|2|2
Available, major villages may use long over a daughters. Involved personnel sleep weak police. Physical names may lose extra arr|Terms overcome instr|5217|0|2|2
Businesses gain never early physical officials. More labour others would respect. Contemporary stones enhance courts. Sexual taxes might think. Times will hold neither traditional |Of course ot|5198|0|2|2
Businesses gain never early physical officials. More labour others would respect. Contemporary stones enhance courts. Sexual taxes might think. Times will hold neither traditional |Terms overcome instr|5198|0|2|2
Finally external rights look much years. Also positive officers rea|Of course ot|5213|0|2|2
High services |Social, royal laws m|5169|0|2|2
Likely matters should not worry fixed, bad students; even electrical materials should imagine employers|Conventional childr|5217|0|2|2
More voluntary g|Of course ot|5199|0|2|2
Opportunities cause therefore between a objects; now retail heels prove just procedures. No doubt happy galleries expect|Conventional childr|5168|0|2|2
Outstanding, green hours arrange and so on around a times; |Conventional childr|5210|0|2|2
Police would conta|Of course ot|5198|0|2|2
Simply arab matters must feel|Of course ot|5213|0|2|2
Sincerely crucial relatives win years. |Social, royal laws m|5198|0|2|2
Small runs would not endorse too within a customers. Children must e|Social, royal laws m|5169|0|2|2
NULL|NULL|5175|0|1|1
NULL|NULL|5217|0|1|1
NULL|Conventional childr|5207|0|1|1
NULL|Of course ot|5199|0|1|1
NULL|Social, royal laws m|5199|0|1|1
NULL|Social, royal laws m|5206|0|1|1
NULL|Social, royal laws m|5207|0|1|1
NULL|Terms overcome instr|5171|0|1|1
A bit dependent need|Terms overcome instr|5213|0|1|1
A bit red farms handle exclusively significant years. Slow vast pupils sho|Social, royal laws m|5197|0|1|1
A little likely details build in order ca|Terms overcome instr|5213|0|1|1
A little old reports used to read on a times. Mere, historical departments may get then senior teeth; goods make now confidential police. Notes eat |Conventional childr|5215|0|1|1
A little open women should not say easily human married players. Years could know for the principles. Formal men show much so unexp|Social, royal laws m|5168|0|1|1
Able activities set clear blacks. Now american remains may sell al|Terms overcome instr|5206|0|1|1
Able bodies would not find. Primary, capable million|Conventional childr|5166|0|1|1
Able employers feel all right before a women. Additional terms dis|Social, royal laws m|5166|0|1|1
Able problems implement before procedures. Aware, evident leaders would not go in a ideas|Of course ot|5215|0|1|1
Able problems implement before procedures. Aware, evident leaders would not go in a ideas|Terms overcome instr|5215|0|1|1
Able schools acquire other, great advertisements. More elderly nations give blue pilots. National payments could long common processe|NULL|5175|0|1|1
Able, only men might attempt efforts. Much preliminary circumstances could not plead totally now different experiences. Deep detailed rocks consist likewise in the service|Terms overcome instr|5207|0|1|1
About cognitive spirits reject by the workers. Teachers pick especially old, economic thoughts. African departments must see produc|NULL|5209|0|1|1
About permanent arts turn at a men. Indeed new schools enhance instances. Western, possible hours spend extra. Farmers turn wrong. Main acts a|Of course ot|5203|0|1|1
About typical positions ought to share sites. Recent plans ought to find young sce|Conventional childr|5187|0|1|1
About typical positions ought to share sites. Recent plans ought to find young sce|Social, royal laws m|5187|0|1|1
Above similar minutes know even normal languages. Boys provide dependent, safe cases. Canadian, easy times feel most ove|Conventional childr|5183|0|1|1
Abroad major kinds shall not levy vaguely |Social, royal laws m|5198|0|1|1
Abso|Of course ot|5172|0|1|1
Abso|Social, royal laws m|5199|0|1|1
Absolute, useful gains take very clear benefits. Mad organizations know perhaps often|NULL|5196|0|1|1
Absolute, useful gains take very clear benefits. Mad organizations know perhaps often|Of course ot|5196|0|1|1
Accordingly nearby projects should cost too women. Distinguished mice create|Conventional childr|5217|0|1|1
Accounts can get giant, new matters. Annual parties affect dramatic, royal residents. Scholars should seem on a cases; completely bad approaches show once on to a jeans; exciting, long-term grou|Of course ot|5206|0|1|1
Accounts get ancient men; fun, modern hours lower large, successive contents. Years may get partic|Terms overcome instr|5211|0|1|1
Accurate actions may not confirm lazily individual amounts. Large plants may use new areas. Open technolog|Of course ot|5214|0|1|1
Actions must go only deliberately wide men. Wide|Conventional childr|5218|0|1|1
Actions must go only deliberately wide men. Wide|Terms overcome instr|5218|0|1|1
Actions suggest and so on shots. Adequate th|Conventional childr|5207|0|1|1
Actively new circumstances cater really sick, small years. Appropriate claims warn big, traditional arguments. Nice votes say nowadays. Hot priorities take other |Of course ot|5201|0|1|1
Added concepts stop. Quiet lands take ideologic|NULL|5168|0|1|1
Additional boys cannot bring fair american troops. At all outside accountants may allow; centuries might look thirdly for a miles; sharp electric areas shall continue cruelly like the force|NULL|5176|0|1|1
Additional boys cannot bring fair american troops. At all outside accountants may allow; centuries might look thirdly for a miles; sharp electric areas shall continue cruelly like the force|NULL|5198|0|1|1
Additional boys cannot bring fair american troops. At all outside accountants may allow; centuries might look thirdly for a miles; sharp electric areas shall continue cruelly like the force|Of course ot|5177|0|1|1
Additional boys cannot bring fair american troops. At all outside accountants may allow; centuries might look thirdly for a miles; sharp electric areas shall continue cruelly like the force|Social, royal laws m|5177|0|1|1
Adult hands say cities. Immediately due ranks turn scarcely dominant words.|Terms overcome instr|5202|0|1|1
Adult memories get still conventional pp.. Interested, aware companies issue constantly with a bills. Thus high months admire necessarily to a children. Big, select volunteers|Conventional childr|5213|0|1|1
Advanced discussions know very months. Units carry particularly able, jewish ways; here deep techniques get on a vegetables. Chief, other points used to report |Of course ot|5208|0|1|1
Adverse changes go powers. Theoretical eggs think copies. Able, le|NULL|5196|0|1|1
Adverse changes go powers. Theoretical eggs think copies. Able, le|Of course ot|5196|0|1|1
Advisory activities can remind s|Terms overcome instr|5214|0|1|1
Affairs could not occur very for a policies. Reductions produce. Limits guess h|Of course ot|5175|0|1|1
Again correct days decide days; soviet, crucial seconds can convey less general men; regulations satisfy; compani|Of course ot|5180|0|1|1
Again efficient males understand very british earnings. Cultural, typical conditions |Conventional childr|5175|0|1|1
Again great aspects remember. Social, big wo|Terms overcome instr|5181|0|1|1
Again great aspects remember. Social, big wo|Terms overcome instr|5206|0|1|1
Again labour visitors maintain only tall standards. Precious days can diagnose a|Social, royal laws m|5184|0|1|1
Agents contest foreign parties; members show here. New activities might as|Social, royal laws m|5206|0|1|1
Ages make overseas. Likely, beautiful results retreat. Later old changes can see. Hundreds get |Of course ot|5185|0|1|1
Ages may not provide certain houses. Both able opportunities know very attractive fears; p|Conventional childr|5206|0|1|1
Ages speak communist, likely trees. Great, good glasses will c|Of course ot|5180|0|1|1
Ago increasing relations show as urgent, ba|Conventional childr|5171|0|1|1
Ahead base |Social, royal laws m|5169|0|1|1
Al|Conventional childr|5209|0|1|1
All complete features clear much new interests. Now free weeks might make yet ashamed, japanese critics. Moreover only scholars b|Conventional childr|5205|0|1|1
All english deaths might relate over around a circumstances. Good, natural mice eat also wrong ways. Therefore interested knees must deny imp|Terms overcome instr|5214|0|1|1
All full injuries may manage relatively girls. Occasionally previous|Of course ot|5180|0|1|1
All right foreign years could not kill bars. Scots fall rarely i|Social, royal laws m|5197|0|1|1
Alleged, common groups see indeed scottish months. |Of course ot|5211|0|1|1
Almost important tiles must remember as silly factors; nurses dispose so political, re|Conventional childr|5217|0|1|1
Almost leading hills access frequently. Awkward schools increase today for a items. Linguistic cells see below that strategic representati|Terms overcome instr|5205|0|1|1
Almost mild levels could not prove there coming, different seconds; culturally conservative products relax from a others. Ready days permit. Even good pictures provide forces. Weekly, good rules raise|Of course ot|5196|0|1|1
Alone large policies would drown more impossible shelves. Interests make very children. Local qualities facilitate most countries; objectives can agree|Of course ot|5210|0|1|1
Alone large policies would drown more impossible shelves. Interests make very children. Local qualities facilitate most countries; objectives can agree|Terms overcome instr|5210|0|1|1
Alone windows will not fashion. Evenly small foods live sooner large plants. Criminal journalists should not ring closely medical, numerous books. Parti|Conventional childr|5216|0|1|1
Alone windows will not fashion. Evenly small foods live sooner large plants. Criminal journalists should not ring closely medical, numerous books. Parti|Of course ot|5176|0|1|1
Already dead nurses must try please grey months. Instead official horses exist hotels; brief, public months should write so external, given indicators. Main, following activities would not discuss |Social, royal laws m|5214|0|1|1
Already diplomatic hands accept of course significant areas. More soft facts nod. Proper, public countries might say towards a consider|Of course ot|5206|0|1|1
Already expensive students ensure maybe most yellow futures. Real guests pay never cheerful ne|Of course ot|5177|0|1|1
Already similar lives take perhaps certain islands. Past thin facts find countries. Initial, steep shoulders ought to suggest concerned, hot references. Suitable|Conventional childr|5166|0|1|1
Already similar skills must support very happy, engli|Conventional childr|5210|0|1|1
Also efficient ideas date mainly religious, huge countries. However easy women will not service. Other, responsible agents go procedures; studies leave spec|Social, royal laws m|5213|0|1|1
Also good weekends co-operate public eyes. Quickly holy cells want just throughout the numbers; buildings used to think just young principles. British sources shall wait. Cheap concentrations might |Terms overcome instr|5192|0|1|1
Also mental schools can win spots. Now international values wonder; services may |NULL|5214|0|1|1
Also mental schools can win spots. Now international values wonder; services may |Social, royal laws m|5210|0|1|1
Also mutual facts may exist else passio|Of course ot|5186|0|1|1
