c_custkey|c_name|revenue|c_acctbal|n_name|c_address|c_phone|c_comment
7450894|Customer#007450894|936768.8469|927.18|ARGENTINA|Kub3yOhSWLuc MTLe8owZ spwzrOvVlX8WQJwuE|11-833-256-7879|the furiously unusual foxes! platelets nag boldly above the quickly bold accounts. furiously 
9739771|Customer#009739771|842966.5285|1286.48|JORDAN|zoTOSQ1TrpuUDmCk9f|23-281-450-4794|boost quickly. never dogged instructions boost quickly ironic requests. pinto beans sleep carefully across 
4571035|Customer#004571035|838705.6168|6704.13|UNITED KINGDOM|Z,inL0muZQK8AiEm3qme9CBjuYIO0JTfH|33-138-285-3770|ecial theodolites wake slyly across the never silent ideas. final foxes around the carefully regular 
637855|Customer#000637855|812034.3778|2674.86|MOZAMBIQUE|BV7zGwFIOkc|26-852-120-2850|ges. express, special dolphins cajole around the slyly regular accounts. fu
10781974|Customer#010781974|801735.5176|5079.77|ROMANIA|pwYB0N97ySprr4vi5UZ382q0U8WCPp|29-651-722-6239|sits haggle evenly. express packages sl
11361613|Customer#011361613|800558.4337|4644.71|INDONESIA|I4gKJjA4BV6syYz|19-344-539-9187|l, special dependencies. carefully regular instructions use about the carefully bold accounts. pending accou
1259743|Customer#001259743|793274.7846|2592.74|ETHIOPIA|35Mr0In QWvDgyLt8UYPECuBEllYNShLI|15-733-636-6732|y express requests cajole furiously alongside of the carefull
5154136|Customer#005154136|787191.1959|1028.97|MOROCCO|30OHoO9k5s,HrKS3a6k9fLVsXa|25-841-379-9394|affix carefully blithely unusual requests. unusual ideas b
14986552|Customer#014986552|781645.8638|2678.94|ARGENTINA|zFVtpT4Zo,|11-671-762-3613|s. packages haggle carefully at the ironic braids. blithely regular pinto beans cajole slyly. 
2905816|Customer#002905816|778729.4414|5085.53|UNITED STATES|QOfcBYPRbq|34-217-584-5820|s under the regular sheaves sleep blithely final platelets. dolphins sleep across the stealthily special ideas. furi
6184141|Customer#006184141|772721.0973|5901.88|BRAZIL|3CxIFtsmlpESaUQzurlTV|12-563-743-4211|eodolites according to the carefully final accounts use carefully slyly ironic instructions. b
7852024|Customer#007852024|769688.6616|1197.57|INDIA|ZrF1h1tpKbH9j5cVtnD3NMJFtE1my05S86WiWU09|18-141-580-3886| blithely ironic notornis cajole according to the quickly even requests! quickly re
7183231|Customer#007183231|768455.8796|-683.01|INDIA|Ds83MjPovIdahJd|18-270-127-8463|ial pinto beans among the furiously special deposits haggle quickly after the ironic, final deposits. regular theodo
1627651|Customer#001627651|768300.3006|3059.82|MOROCCO|PBXh8ZQR2xTOpgQo 7FBfI EZGZ BnD|25-732-202-4862|ts are alongside of the requests. carefully regular accounts above the ironic deposits integrate slyly pendi
13624771|Customer#013624771|767856.1562|-168.68|IRAN| uekVASYAlR1fqAFoJwcgndQAF|20-919-886-5399|unts wake furiously above the carefully special instruction
13896424|Customer#013896424|760957.6214|3798.91|INDONESIA|PzqffgfQ7p|19-494-837-4503| the quickly furious deposits. packages after the furiously unusual instructions hang slyly iron
4926817|Customer#004926817|758756.8533|5462.22|RUSSIA|4RbwBrzz6eHCI|32-610-751-1595|against the furiously regular ideas. carefully e
319150|Customer#000319150|757235.8949|3257.68|IRAN|GZg5Tg1XIJUOKHxb6C,I4h7PrwFiwitvn|20-837-276-7259|deposits. regular accounts nag. slyly ironic idea
5894188|Customer#005894188|756482.0641|3062.00|BRAZIL|,b 3YYdbkOsSZdSEekTT,Dk8dljn 4aUkzEE9M3|12-372-345-6045|slyly regular pinto beans integrate s
3387028|Customer#003387028|755937.5757|3726.64|ETHIOPIA|IWj4CTUBet5tE|15-880-219-8399|ests sleep furiously among the furiously regular p
