c_last_name|c_first_name|c_salutation|c_preferred_cust_flag|ss_ticket_number|cnt
Adams|Jesse|Dr.|N|19231426|5
Alderman|Kathleen|Miss|N|20405697|5
Allison|Al|Mr.|N|496886|5
Arnold|James|Dr.|Y|1921116|5
Atwood|Carl|Sir|N|523812|5
Baker|Julie|Mrs.|Y|14972491|5
Barton|William|Mr.|N|17923145|5
Berry|Anissa|Dr.|Y|14902499|5
Bridges|Glenn|Mr.|N|22515307|5
Bullock|Thomas|Dr.|Y|8511089|5
Bullock|Carl|Mr.|N|14966899|5
Burleson|Charlotte|Mrs.|Y|23018382|5
Byrd|Michael|Sir|Y|1331979|5
Carson|Lecia|Dr.|Y|7162305|5
Castellanos|Stefanie|Ms.|N|15748141|5
Cathey|James|Dr.|Y|5758911|5
Cook|Susan|Ms.|N|18857362|5
Cooper|Devin|Dr.|Y|23373333|5
Cruz|Susan|Ms.|Y|5233683|5
Cullen|Jennifer|Ms.|N|4390913|5
Davis|Evelyn|Dr.|Y|16321439|5
Eaton|Alexander|Ms.|Y|8896817|5
Ervin|Tracy|Mr.|N|14698141|5
Escobar|Alejandro|Sir|Y|16352664|5
Fallon|Leo|Mr.|Y|9536869|5
Fisher|Steve|Dr.|Y|22882264|5
Freeman|Joseph|Sir|Y|13517474|5
Gage|Pauline|Miss|N|8673376|5
Gaither|Anthony|Miss|Y|2854454|5
Gavin|Melva|Miss|N|821149|5
Goldberg|Marsha|Dr.|N|15582749|5
Gordon|Michael|Mr.|Y|18706114|5
Grant|Paul|Sir|Y|14500835|5
Hallman|Hector|Dr.|N|19553743|5
Handy|John|Mr.|Y|19665079|5
Harrell|David|Mr.|Y|17853945|5
Hartman|Lester|Dr.|Y|11736592|5
Henderson|Mitchell|Mr.|Y|21698259|5
Hernandez|Roy|Dr.|N|6548654|5
Hernandez|NULL|Dr.|Y|4447879|5
Hughes|Bernetta|Dr.|Y|1484892|5
Jernigan|Robert|Sir|Y|22945282|5
Johnson|Heidi|Ms.|N|12441841|5
Keenan|Dawn|Dr.|N|20482591|5
Kelly|Wiley|Mr.|N|3855452|5
Knox|Patrice|Ms.|N|2982554|5
Laney|Janet|Mrs.|Y|23846704|5
Lang|Jose|Dr.|Y|3675555|5
Lear|Sadie|Miss|N|23115081|5
Lemieux|Jorge|Sir|N|21359236|5
Lewis|Dustin|Mr.|Y|12313381|5
Lyons|Helen|Ms.|N|18833496|5
Mann|John|Dr.|Y|9813205|5
Maupin|Elmer|Dr.|N|4137215|5
Mcleod|Doug|Sir|N|15954683|5
Mcnutt|Kurt|Dr.|Y|9910499|5
Melendez|Audrey|Ms.|Y|22923381|5
Moore|Denise|Ms.|Y|20704142|5
Morgan|Steve|Sir|Y|8436465|5
Morris|Fred|Dr.|N|13162561|5
Munoz|Cecil|Mr.|N|9300095|5
Nelson|Juliet|Dr.|N|974641|5
Nesmith|Cecil|Mr.|Y|692174|5
Payne|Lisa|NULL|NULL|18567916|5
Peck|Velma|Dr.|N|11780272|5
Pierson|Judith|Dr.|N|23894156|5
Plunkett|Emily|Dr.|N|1342917|5
Prieto|Priscilla|Dr.|Y|20383717|5
Ramos|Charlene|Mrs.|Y|10465555|5
Rawlings|Robert|Sir|Y|8082874|5
Reyes|Jennifer|Ms.|N|23458999|5
Ricci|Jennifer|Mrs.|N|22311243|5
Roberts|Virginia|Ms.|N|17582960|5
Robinson|Mallory|Miss|N|13399255|5
Rodriguez|Paul|Mr.|Y|5656859|5
Rodriguez|Vincent|Mr.|Y|17180797|5
Rogers|Eugene|Mr.|Y|21572357|5
Ross|Daniel|Mr.|N|16162295|5
Salinas|Nicholas|Sir|N|2382248|5
Santiago|Julie|Miss|Y|10084085|5
Sayre|Cory|Sir|N|23437184|5
Shaw|Jon|Mr.|N|5500591|5
Shaw|Jessica|Miss|Y|19977491|5
Silva|Frank|Mr.|Y|18146811|5
Sousa|Sandra|Dr.|N|13713884|5
Steffen|Charles|Mr.|NULL|21009521|5
Stone|Herbert|Mr.|N|21304324|5
Storey|Jacklyn|Mrs.|N|22727443|5
Summers|Randee|Mrs.|Y|8388097|5
Tackett|Denise|Ms.|Y|15864859|5
Thompson|Diane|Dr.|Y|18143203|5
Thompson|Michael|Dr.|Y|2390052|5
Thompson|Claudine|Miss|Y|967375|5
Turner|Clarence|Dr.|N|22995846|5
Warner|Steven|NULL|NULL|20215411|5
Watson|Brian|Dr.|Y|1593040|5
Webb|Jonathan|Sir|Y|6402105|5
Young|Irma|Ms.|N|4232678|5
NULL|Jose|NULL|NULL|5163632|5
NULL|Alfred|Dr.|Y|5766890|5
NULL|Lisa|NULL|Y|22367076|5
NULL|Andre|Dr.|NULL|2010779|5
NULL|NULL|NULL|N|7247518|5
Blum|Richard|Sir|N|1948949|4
Clinton|Faye|Ms.|N|12610650|4
Collins|Martha|Mrs.|Y|7478466|4
Flaherty|Catherine|Dr.|Y|1468263|4
Flint|Angela|Ms.|N|10783684|4
Goodman|Dorothy|Miss|N|11392175|4
Jackson|Dolores|Dr.|N|7402463|4
Jennings|Rodney|Dr.|Y|23398632|4
Meyer|Simon|Sir|N|612471|4
Parker|Cristopher|Dr.|Y|12545227|4
Reynolds|Gabriel|Sir|Y|8394722|4
Washington|Jesse|Dr.|Y|10494533|4
NULL|NULL|NULL|NULL|14581417|4
Adams|Steven|Sir|Y|2583138|3


