c_last_name|c_first_name|c_salutation|c_preferred_cust_flag|ss_ticket_number|cnt
NULL|NULL|NULL|NULL|1530634|15
NULL|NULL|NULL|NULL|1993633|16
NULL|NULL|NULL|NULL|5780227|15
NULL|NULL|NULL|NULL|6116376|15
NULL|NULL|NULL|NULL|6355411|16
NULL|NULL|NULL|NULL|6485209|15
NULL|NULL|NULL|NULL|8137778|15
NULL|NULL|NULL|NULL|8394525|15
NULL|NULL|NULL|NULL|8518265|16
NULL|NULL|NULL|NULL|11675542|15
NULL|NULL|NULL|NULL|12024272|15
NULL|NULL|NULL|NULL|13565981|16
NULL|NULL|NULL|NULL|13671919|16
NULL|NULL|NULL|NULL|16247284|16
NULL|NULL|NULL|NULL|18996468|16
NULL|NULL|NULL|NULL|19770891|15
NULL|NULL|NULL|NULL|20702555|15
NULL|NULL|NULL|Y|722428|15
NULL|NULL|NULL|Y|3858610|16
NULL|NULL|NULL|Y|5254726|16
NULL|NULL|NULL|Y|7162845|15
NULL|NULL|NULL|Y|9917721|16
NULL|NULL|NULL|Y|12944112|16
NULL|NULL|NULL|Y|22846295|15
NULL|NULL|NULL|N|1837617|15
NULL|NULL|NULL|N|4332047|15
NULL|NULL|NULL|N|4507095|15
NULL|NULL|NULL|N|6294284|16
NULL|NULL|NULL|N|7016873|15
NULL|NULL|NULL|N|7417166|15
NULL|NULL|NULL|N|8232339|15
NULL|NULL|NULL|N|8678799|15
NULL|NULL|NULL|N|9377322|15
NULL|NULL|NULL|N|12240287|15
NULL|NULL|NULL|N|12932401|16
NULL|NULL|NULL|N|15782371|15
NULL|NULL|NULL|N|18115741|16
NULL|NULL|NULL|N|22418634|16
NULL|NULL|Dr.|NULL|8629285|15
NULL|NULL|Dr.|NULL|11598520|16
NULL|NULL|Dr.|NULL|12664675|16
NULL|NULL|Dr.|NULL|15900182|16
NULL|NULL|Dr.|NULL|20239971|15
NULL|NULL|Dr.|NULL|21436854|15
NULL|NULL|Dr.|NULL|23043944|16
NULL|NULL|Dr.|Y|260975|15
NULL|NULL|Dr.|Y|2609163|15
NULL|NULL|Dr.|Y|20153458|15
NULL|NULL|Dr.|Y|22779400|16
NULL|NULL|Dr.|N|311668|15
NULL|NULL|Dr.|N|918307|15
NULL|NULL|Dr.|N|3804263|15
NULL|NULL|Dr.|N|12123887|15
NULL|NULL|Dr.|N|18128873|15
NULL|NULL|Miss|NULL|526386|15
NULL|NULL|Miss|Y|5174183|16
NULL|NULL|Miss|N|1412839|15
NULL|NULL|Mr.|NULL|223946|15
NULL|NULL|Mr.|NULL|1051013|15
NULL|NULL|Mr.|NULL|4651299|16
NULL|NULL|Mr.|NULL|8722147|15
NULL|NULL|Mr.|NULL|13700733|15
NULL|NULL|Mr.|NULL|16021275|16
NULL|NULL|Mr.|NULL|16627364|16
NULL|NULL|Mr.|Y|14302689|15
NULL|NULL|Mr.|N|941197|15
NULL|NULL|Mr.|N|13399786|15
NULL|NULL|Mr.|N|22521521|16
NULL|NULL|Mrs.|NULL|12914734|15
NULL|NULL|Mrs.|NULL|22178669|15
NULL|NULL|Mrs.|NULL|22230039|16
NULL|NULL|Mrs.|Y|429552|15
NULL|NULL|Mrs.|N|5684536|15
NULL|NULL|Mrs.|N|20527457|15
NULL|NULL|Mrs.|N|22715393|15
NULL|NULL|Ms.|NULL|4449730|15
NULL|NULL|Ms.|NULL|7498330|15
NULL|NULL|Ms.|N|18561408|15
NULL|NULL|Sir|NULL|2977019|15
NULL|NULL|Sir|NULL|7346976|15
