c_last_name|c_first_name|ca_city|bought_city|ss_ticket_number|extended_price|extended_tax|list_price
NULL|Mark|Somerville|Green Acres|15164|21737.79|924.75|43426.33
NULL|Deborah|Stringtown|Florence|41088|18444.20|1034.74|35862.82
NULL|NULL|Spring Hill|Brownsville|65502|34549.89|1069.59|59918.76
NULL|John|Spring Hill|Friendship|123374|21712.42|1337.39|31640.02
NULL|NULL|Shiloh|Greenwood|133492|10568.64|410.24|22086.08
NULL|Mozella|Hillcrest|Fairview|153538|19258.60|722.81|41563.62
NULL|NULL|Enterprise|Forest Hills|173271|22717.30|385.61|54011.23
NULL|NULL|New Hope|Post Oak|179223|23062.99|941.15|39854.58
NULL|NULL|Pleasant Valley|Crossroads|198737|33009.57|2455.40|42317.79
NULL|Jesus|Pleasant Valley|Woodland|202392|31955.33|955.36|53020.06
NULL|Willie|Clifton|Jamestown|202845|26388.25|854.33|46635.21
NULL|NULL|Gilmore|Georgetown|241711|17174.55|396.41|25911.67
NULL|Rita|Woodlawn|Mount Zion|272217|24124.38|1012.20|45221.02
NULL|Carl|Greenwood|Louisville|274236|23879.02|1142.47|43698.40
NULL|NULL|Shady Grove|Tipton|300257|15818.61|627.84|32558.11
NULL|Rosella|Marion|Edgewood|306191|29400.83|664.23|43150.83
NULL|NULL|Five Points|Newport|314279|24207.47|802.30|42122.54
NULL|Jack|Oakdale|Deerfield|316242|18187.34|421.05|46998.43
NULL|Julie|Wilson|Woodville|358945|18613.03|788.42|47538.49
NULL|NULL|Georgetown|Greenville|387206|13604.95|611.83|41295.19
NULL|NULL|Hamilton|Harmony|390413|18497.26|260.24|28814.33
NULL|NULL|Forest Hills|Red Hill|396041|17473.11|874.07|59947.82
NULL|Nicole|Mount Pleasant|Oakwood|412443|15686.60|992.37|27925.87
NULL|NULL|Oak Hill|Five Points|471328|15601.83|790.86|25908.43
NULL|Michael|Pleasant Valley|Highland|520314|15396.69|275.93|41394.23
NULL|NULL|Post Oak|Pleasant Valley|523677|23890.55|959.87|45806.59
NULL|NULL|Forest Hills|Plainview|580214|22549.09|426.65|36845.89
NULL|NULL|Clifton|Centerville|585593|23008.50|967.87|43291.40
NULL|NULL|Jackson|Brownsville|621618|21406.32|623.82|33974.83
NULL|Frank|Point Pleasant|Elm Grove|635765|29230.74|1633.77|40494.38
NULL|Jack|Newtown|Waterloo|645140|16088.38|703.29|61799.68
NULL|Louis|Florence|Riverview|676861|24608.66|406.09|37097.00
NULL|Wanda|Hamilton|Newport|677141|21866.57|972.91|55945.59
NULL|NULL|Highland Park|Lakeview|678209|13832.37|736.43|37656.72
NULL|Timothy|Enterprise|Lakeview|720175|16914.33|854.31|32883.74
NULL|NULL|Centerville|Oakwood|724229|14943.90|448.63|36541.62
NULL|Erica|Riverdale|Forest Hills|731563|30698.51|1555.73|43981.17
NULL|NULL|Woodlawn|Belmont|755630|22603.33|490.72|58226.61
NULL|Patrick|Oakdale|Harmon|756099|10439.12|628.16|20831.78
NULL|Jean|Sawyer|Union|759237|21745.49|452.73|42008.81
NULL|Mellissa|Ashland|Lakewood|763423|19061.94|872.33|56539.82
NULL|NULL|Price|Union|849626|15448.07|761.75|50115.99
NULL|NULL|Sulphur Springs|Union|868290|11158.00|412.80|19471.14
NULL|NULL|Glenwood|Kimball|869608|23404.24|1415.90|47148.31
NULL|NULL|Greenfield|Oak Grove|894965|23175.12|989.01|49468.10
NULL|NULL|Waterloo|Wildwood|902777|16231.64|976.78|46196.60
NULL|NULL|Marion|Fairview|916278|38136.50|2074.24|52967.97
NULL|Wallace|Riverside|Clinton|920030|22228.44|988.83|53514.55
NULL|Linda|Five Points|Lincoln|927351|23387.07|818.33|41069.72
NULL|NULL|Bridgeport|Concord|946382|29167.57|593.54|66122.38
NULL|Joan|Glendale|Lebanon|947121|23670.16|897.93|49901.14
NULL|Catherine|Burns|Woodland|950184|26312.44|1142.22|45753.54
NULL|NULL|Red Hill|Howell|972973|15782.60|574.58|35692.40
NULL|Christina|Sulphur Springs|Five Forks|977818|25517.45|423.82|49595.54
NULL|NULL|Union|Clifton|983899|18202.18|987.13|24487.31
NULL|NULL|Glendale|Wildwood|1000559|23347.76|1217.53|44274.08
NULL|Kenny|Red Hill|Five Forks|1046035|13246.13|464.53|23761.09
NULL|NULL|Lakeside|Wildwood|1091315|8840.41|627.60|26095.85
