c_last_name|c_first_name|ca_city|bought_city|ss_ticket_number|amt|profit
NULL|NULL|Aberdeen|Greenwood|10611777|104.64|-5572.12
NULL|NULL|Acme|Antioch|8586574|3319.23|-1823.15
NULL|NULL|Acme|Farmington|1449686|120.17|-6652.04
NULL|NULL|Acme|Lakeside|10991687|1225.46|-12396.59
NULL|NULL|Altamont|Woodland|4780974|1546.53|-12461.98
NULL|NULL|Amherst|Floyd|13770449|1135.22|-13433.17
NULL|NULL|Amherst|Lakewood|19651007|629.81|-13239.17
NULL|NULL|Amherst|New Hope|2325557|438.07|-6852.33
NULL|NULL|Amity|Fairfield|11133957|1391.92|-9340.23
NULL|NULL|Amity|Yorktown|5864103|0.00|-1211.15
NULL|NULL|Antioch|Cedar|20707345|2698.07|-12134.27
NULL|NULL|Antioch|Cedar Grove|23857746|80.12|-9344.76
NULL|NULL|Antioch|Clinton|18838067|643.94|-11112.24
NULL|NULL|Antioch|Concord|10811701|0.00|-6722.12
NULL|NULL|Antioch|Crossroads|11165915|1709.27|-6918.34
NULL|NULL|Antioch|Edgewood|17867658|1309.04|-720.79
NULL|NULL|Antioch|Enterprise|16721792|52.84|-10127.80
NULL|NULL|Antioch|Fairfield|14249228|2335.12|-5573.38
NULL|NULL|Antioch|Granite|10942713|9149.72|-10844.58
NULL|NULL|Antioch|Greenwood|17654698|1235.49|-10829.68
NULL|NULL|Antioch|Highland Park|15991378|420.05|-6283.38
NULL|NULL|Antioch|Hillcrest|9368081|721.64|-8490.96
NULL|NULL|Antioch|Lakeside|10126762|1307.76|-14671.31
NULL|NULL|Antioch|Macedonia|12712729|154.05|-1433.62
NULL|NULL|Antioch|Maple Grove|1509781|75.95|-8998.35
NULL|NULL|Antioch|Mount Vernon|11598669|0.00|-3951.82
NULL|NULL|Antioch|Newport|1490935|1822.80|-7896.92
NULL|NULL|Antioch|Oakdale|6108243|262.48|-5281.84
NULL|NULL|Antioch|Riverview|1446510|142.90|-7005.28
NULL|NULL|Antioch|Salem|4336872|2620.39|-10798.19
NULL|NULL|Antioch|Shiloh|3694444|0.00|-7553.07
NULL|NULL|Antioch|Spring Hill|7239049|5856.55|-17922.86
NULL|NULL|Antioch|Spring Hill|10033115|4024.51|-6634.52
NULL|NULL|Antioch|Stringtown|11917293|3566.94|-13107.55
NULL|NULL|Antioch|Union|3609976|1096.40|-25298.48
NULL|NULL|Antioch|Union Hill|6837743|1627.66|-8440.88
NULL|NULL|Antioch|Unionville|1435745|6.39|-16951.81
NULL|NULL|Antioch|Valley View|6997122|0.00|-15383.86
NULL|NULL|Antioch|Walnut Grove|17008|1125.23|-11650.58
NULL|NULL|Antioch|Wildwood|3019833|3756.70|-11442.08
NULL|NULL|Arcola|Liberty|13981111|0.00|-2895.26
NULL|NULL|Arcola|Riverdale|7070723|9323.85|-17285.53
NULL|NULL|Arcola|Union Hill|4363637|957.96|-10363.60
NULL|NULL|Argyle|Shady Grove|16260594|114.81|-10641.35
NULL|NULL|Argyle|Sulphur Springs|4622596|2417.51|-2373.17
NULL|NULL|Arlington|Bethel|23254734|652.66|-4518.59
NULL|NULL|Arlington|Centerville|8745850|9621.10|-13028.96
NULL|NULL|Arlington|Enterprise|16839211|962.31|-5731.53
NULL|NULL|Arlington|Five Forks|11162531|0.00|-9226.08
NULL|NULL|Arlington|Flint|11296800|0.00|4266.11
NULL|NULL|Arlington|Glendale|3919455|165.69|-10112.57
NULL|NULL|Arlington|Greenfield|10664629|6504.96|-4593.47
NULL|NULL|Arlington|Greenville|10325065|5378.08|-8331.81
NULL|NULL|Arlington|Hillcrest|14298860|999.97|-7559.09
NULL|NULL|Arlington|Hopewell|8196004|2551.11|-23489.58
NULL|NULL|Arlington|Jamestown|11676002|6543.84|-9314.75
NULL|NULL|Arlington|Kingston|16826841|72.61|441.85
NULL|NULL|Arlington|Lakeside|8087879|88.09|-8395.02
NULL|NULL|Arlington|Pine Grove|15427821|345.79|-11518.86
NULL|NULL|Arlington|Providence|5011366|702.65|-11115.22
NULL|NULL|Arlington|Riverdale|10358464|8484.61|-24894.18
NULL|NULL|Arlington|Riverview|1608211|513.24|-854.15
NULL|NULL|Arlington|Riverview|20127483|3059.58|-13271.25
NULL|NULL|Arlington|Stewart|13585542|3427.09|-19132.40
NULL|NULL|Arlington|Summit|7628359|42.24|-3211.38
NULL|NULL|Arlington|Summit|21904683|78.42|-1803.10
NULL|NULL|Arlington|Union Hill|7970101|209.34|-18467.26
NULL|NULL|Arlington|Valley View|1251578|291.79|-12706.83
NULL|NULL|Arthur|Liberty|8953064|2342.64|1315.10
NULL|NULL|Ashland|Allison|8826009|212.18|-4819.98
NULL|NULL|Ashland|Clifford|3802449|8280.40|-11027.47
NULL|NULL|Ashland|Hurricane|15877227|699.32|-2844.28
NULL|NULL|Ashland|Jackson|13097377|850.64|-11228.92
NULL|NULL|Ashland|Mount Olive|22473777|0.00|-15486.00
NULL|NULL|Ashland|Newport|15003804|2086.48|-10621.16
NULL|NULL|Ashland|Newport|20394558|8.07|-2904.65
NULL|NULL|Ashland|Pleasant Hill|3427165|0.00|-2624.67
NULL|NULL|Ashland|Pleasant Hill|4065993|558.32|-8984.62
NULL|NULL|Ashland|Richville|140132|3467.01|-9602.10
NULL|NULL|Ashland|Shady Grove|181038|77.46|776.38
NULL|NULL|Ashland|Stringtown|14852480|1127.32|-3074.10
NULL|NULL|Ashland|Superior|12024272|0.00|-26358.61
NULL|NULL|Ashland|Wildwood|19243389|5761.62|-21209.93
NULL|NULL|Ashley|Greenwood|23626575|2624.32|-18991.59
NULL|NULL|Bath|Cedar Grove|14360688|3091.17|-9251.57
NULL|NULL|Bath|Central|1149029|1616.28|-18734.98
NULL|NULL|Bath|Newport|22399474|738.08|-5638.44
NULL|NULL|Bay View|Cedar Grove|8048785|52.22|-1745.83
NULL|NULL|Bayside|Glenwood|12472031|473.85|614.94
NULL|NULL|Bayview|Fairfield|23180952|3815.19|-14923.25
NULL|NULL|Bayview|Greenville|18989949|557.89|-13487.77
NULL|NULL|Bayview|Kensington|3148035|0.00|705.31
NULL|NULL|Bear Creek|Bunker Hill|3723188|2118.34|-9273.05
NULL|NULL|Bear Creek|Farmington|20464301|1442.41|-13032.21
NULL|NULL|Belfast|Walnut Grove|16860518|8547.15|-22821.51
NULL|NULL|Belleview|Arlington|21593488|2727.08|-14109.02
NULL|NULL|Belleview|Fairfield|8838704|0.00|-5484.62
NULL|NULL|Belleville|Lincoln|14254836|1228.09|-2619.36
NULL|NULL|Belleville|Oakdale|6292355|6581.33|-16912.93
NULL|NULL|Belleville|Riverview|18110943|1834.99|-14898.55
