c_last_name|c_first_name|c_salutation|c_preferred_cust_flag|ss_ticket_number|cnt
NULL|NULL|NULL|NULL|61212|16
NULL|NULL|NULL|NULL|88556|15
NULL|NULL|NULL|NULL|241741|15
NULL|NULL|NULL|NULL|282922|15
NULL|NULL|NULL|N|201062|16
NULL|NULL|NULL|N|450476|15
NULL|NULL|NULL|N|497615|15
NULL|NULL|Dr.|NULL|382865|16
NULL|NULL|Dr.|NULL|430954|15
NULL|NULL|Dr.|NULL|461310|15
NULL|NULL|Dr.|NULL|663969|15
NULL|NULL|Miss|NULL|494997|16
NULL|NULL|Miss|Y|532105|15
NULL|NULL|Mrs.|NULL|22568|15
NULL|NULL|Mrs.|Y|703150|15
NULL|NULL|Mrs.|N|196090|15
NULL|NULL|Sir|NULL|80953|15
NULL|NULL|Sir|NULL|291711|15
NULL|NULL|Sir|N|623307|15
NULL|Daniel|NULL|N|644627|15
NULL|Daniel|Mr.|NULL|615857|15
NULL|Edward|Mr.|NULL|535664|16
NULL|Fred|NULL|NULL|267247|15
NULL|Jason|NULL|Y|564193|15
NULL|Jerry|Sir|N|115846|15
NULL|Joseph|NULL|NULL|653271|15
NULL|Kathleen|NULL|N|490413|16
NULL|Leonard|NULL|N|258205|15
NULL|Lia|Mrs.|Y|524438|16
NULL|Lisa|Dr.|NULL|88963|15
NULL|Martha|NULL|NULL|206225|16
NULL|Michael|Mr.|NULL|405775|15
NULL|Randy|NULL|NULL|370951|16
NULL|Sharon|NULL|Y|196652|15
NULL|Shelli|Miss|N|230910|16
NULL|Thomas|NULL|Y|445838|15
NULL|Vernon|NULL|N|401196|15
NULL|Viola|Ms.|NULL|195008|15
NULL|Vivian|Ms.|Y|705068|15
NULL|William|Mr.|Y|389967|15
Acosta|Diana|Miss|Y|429552|15
Adam|Su|Dr.|Y|661033|16
Adams|Danny|Mr.|N|548315|16
Adams|Lisa|Mrs.|Y|521344|15
Adams|Lucy|Dr.|N|388207|15
Adams|Sue|Ms.|Y|438960|15
Adkins|Alex|Ms.|N|617374|15
Adkins|Robert|Sir|N|268596|15
Aguilar|Stephen|Mr.|N|607331|15
Aguilar|Toni|Dr.|Y|27813|15
Ahrens|Christine|Dr.|Y|504735|15
Aiello|Marcus|Sir|NULL|27477|16
Akers|Sergio|Dr.|N|223946|15
Alexander|John|Dr.|Y|695465|15
Alexander|Vanessa|Dr.|N|381049|15
Allen|Constance|Mrs.|Y|587083|15
Allen|Emmanuel|Dr.|Y|658935|16
Allen|Josephine|Dr.|N|574499|15
Allen|Mark|Mr.|N|62980|15
Allen|Ronald|Dr.|Y|261616|16
Allen|Susan|Mrs.|N|659150|15
Allred|Robert|Dr.|N|663121|15
Alonso|William|Dr.|Y|152656|15
Alvarado|NULL|Mrs.|N|255340|15
Amos|Bernard|Mr.|N|615859|15
Anaya|Karen|Ms.|Y|442166|15
Anderson|Dale|Mr.|N|277377|15
Anderson|Fidel|Sir|Y|58831|15
Anderson|George|Mr.|Y|346680|15
Anderson|Janet|Mrs.|N|151468|16
Anderson|Joanne|Dr.|Y|356822|15
Andrade|Omar|Sir|Y|112707|15
Andrews|Elizabeth|Ms.|Y|288356|15
Andrus|Jeffry|Sir|Y|23084|15
Aponte|Mark|Sir|Y|9979|15
Arce|Raymond|Mr.|N|146879|15
Archie|Kari|Dr.|N|512825|15
Armijo|Christopher|Sir|N|469645|15
Arnold|Pauline|Dr.|N|90504|15
Arrington|Walter|Sir|N|555383|16
Augustine|Donna|Mrs.|Y|113007|15
Austin|Gary|Dr.|N|100437|15
Austin|Lois|Dr.|Y|259809|15
Bailey|Beatrice|Dr.|Y|331429|16
Bailey|Charlotte|Ms.|Y|159308|15
Bailey|John|Mr.|Y|390017|15
Baird|Kathleen|Dr.|N|289189|15
Baker|Betty|Dr.|Y|17220|15
Baker|Crystal|Mrs.|Y|589365|15
Baker|Helen|Ms.|N|82671|16
Baker|Susan|Dr.|N|406870|15
Balderas|Pat|Dr.|Y|24541|15
Baldwin|Clarice|Dr.|Y|126453|15
Ball|Evelyn|Dr.|Y|621526|15
Ballard|Jami|Ms.|Y|473502|16
Baptiste|Coleman|Sir|N|683421|15
Barham|Sandra|Mrs.|Y|341620|15
Barker|Ronald|Sir|Y|461183|16
Barnes|Aida|Ms.|N|65289|15
Barnes|Sara|Miss|N|14366|15
Barnett|Travis|Sir|Y|374117|15
Barrios|Troy|Sir|Y|336858|16
Bates|Denise|Mrs.|N|662390|15
Batista|Edward|Mr.|N|233447|15
Battle|Lisa|Ms.|N|358332|15
Beal|Inez|Mrs.|Y|672234|15
Beam|Bryce|Sir|Y|420605|15
Beard|Ella|Miss|Y|545409|15
Beaulieu|Ricardo|Sir|Y|405695|15
Beckwith|Sofia|Mrs.|N|462382|16
Belanger|Dave|Dr.|N|588207|15
Belcher|Jackie|Mr.|Y|269192|15
Bell|Oscar|Sir|N|246238|15
Bell|Pedro|Sir|Y|262705|15
Benavides|Elizabeth|Miss|N|191466|15
Benedict|Albert|Ms.|N|258796|15
Benge|David|Dr.|Y|657011|15
Berg|Patrick|Sir|Y|678238|15
Berger|Daniel|Sir|N|634565|15
Berry|John|Dr.|Y|287862|16
