c_last_name|c_first_name|ca_city|bought_city|ss_ticket_number|amt|profit
NULL|NULL|Adrian|Woodlawn|530197|770.13|-1607.09
NULL|NULL|Allentown|Lakewood|312855|0.00|-944.06
NULL|NULL|Altamont|Oak Ridge|451594|41.74|-3903.58
NULL|NULL|Antioch|Fairview|461192|356.46|-4362.98
NULL|NULL|Antioch|Newport|32140|0.00|-12338.57
NULL|NULL|Arcola|Friendship|55371|11413.39|-9108.39
NULL|NULL|Arlington|Brentwood|512296|2446.70|-13106.43
NULL|NULL|Arlington|Highland|575198|576.30|-8418.87
NULL|NULL|Arlington|Riverview|129642|2710.54|-17660.88
NULL|NULL|Arthur|Woodland|171640|4685.72|-19060.23
NULL|NULL|Ashland|Belmont|46553|970.64|-14072.89
NULL|NULL|Ashland|Buena Vista|29046|0.00|-3788.53
NULL|NULL|Ashland|Kingston|76664|0.00|-5581.96
NULL|NULL|Ashland|Mount Olive|582138|13591.32|-5524.51
NULL|NULL|Belmont|Ashland|281702|423.19|-6714.68
NULL|NULL|Belmont|Buena Vista|551813|5235.95|-11613.65
NULL|NULL|Belmont|Crossroads|299798|61.97|-2858.57
NULL|NULL|Belmont|Oak Ridge|424895|157.51|-5338.26
NULL|NULL|Belmont|Waterloo|411724|10750.35|-12085.01
NULL|NULL|Belmont|Woodlawn|694135|11975.77|-10658.08
NULL|NULL|Belmont|Woodville|246142|6179.98|-4577.66
NULL|NULL|Bethel|Flatwoods|345334|518.44|-11234.98
NULL|NULL|Bethel|Macon|657832|4926.12|-9017.42
NULL|NULL|Bethel|Maple Grove|607721|4179.57|-12345.24
NULL|NULL|Bethel|Union Hill|177588|941.13|-7798.48
NULL|NULL|Blanchard|Pleasant Grove|567786|53.81|-14967.14
NULL|NULL|Bridgeport|Kingston|49476|2565.09|-23989.13
NULL|NULL|Bridgeport|Marion|85563|1059.18|-15878.59
NULL|NULL|Bridgeport|Oak Hill|507235|801.74|-13733.88
NULL|NULL|Brownsville|Coldwater|400222|2278.65|-20221.99
NULL|NULL|Brownsville|Enterprise|287286|322.17|-13100.45
NULL|NULL|Brownsville|Jamestown|254512|3577.30|-14224.41
NULL|NULL|Brownsville|Lakeview|518760|5723.95|-174.85
NULL|NULL|Brownsville|Lakewood|505690|491.56|-5019.57
NULL|NULL|Brownsville|Lewisville|271290|4414.60|-6345.38
NULL|NULL|Brownsville|Riverdale|416806|2405.88|-8426.02
NULL|NULL|Brownsville|Spring Hill|17406|325.12|-10440.37
NULL|NULL|Buckingham|Edgewood|278323|1378.79|-9565.88
NULL|NULL|Buena Vista|Ashland|165120|526.82|-3273.82
NULL|NULL|Buena Vista|Farmington|362265|344.01|-6037.45
NULL|NULL|Buena Vista|Greenville|255314|5102.33|-12749.66
NULL|NULL|Bunker Hill|Belmont|17403|0.00|-6426.77
NULL|NULL|Bunker Hill|Centerville|530120|377.59|-10474.77
NULL|NULL|Bunker Hill|Florence|605079|0.00|-8187.70
NULL|NULL|Bunker Hill|Pleasant Grove|403287|807.43|-13495.24
NULL|NULL|Bunker Hill|Riverside|611914|537.81|-6394.58
NULL|NULL|Bunker Hill|Rosebud|266509|230.97|-18406.10
NULL|NULL|Calhoun|Richardson|510234|5590.59|-4337.16
NULL|NULL|Cedar|Oakwood|634816|934.07|-23079.91
NULL|NULL|Cedar Grove|Bunker Hill|454538|806.61|-8165.07
NULL|NULL|Cedar Grove|Concord|614412|5430.90|-16753.72
NULL|NULL|Cedar Grove|Riverside|165244|4421.54|-1352.16
NULL|NULL|Cedar Grove|Riverview|689294|1285.64|-25997.81
NULL|NULL|Cedar Grove|Salem|1399|437.15|-5896.55
NULL|NULL|Cedar Grove|Walnut Grove|498764|2133.08|-5090.53
NULL|NULL|Centerville|Bethel|120754|6138.64|-5438.13
NULL|NULL|Centerville|Greenfield|504559|3777.57|-14378.17
NULL|NULL|Clearview|Ashland|514247|3757.96|-12381.18
NULL|NULL|Clearview|Florence|269933|500.70|-12159.06
NULL|NULL|Clifton|Deerfield|131262|4408.69|-19806.03
NULL|NULL|Clifton|Edgewood|631645|3044.41|-12932.67
NULL|NULL|Clifton|Farmington|561342|6705.34|-3367.28
NULL|NULL|Clinton|Amherst|583491|2437.07|-6416.15
NULL|NULL|Clinton|Blanchard|491127|735.15|-22566.10
NULL|NULL|Clinton|Mount Vernon|677141|225.79|-18140.77
NULL|NULL|Clinton|Riverside|298858|0.00|-2798.30
NULL|NULL|Clinton|Springfield|353275|2676.55|-5861.68
NULL|NULL|Clinton|Stringtown|410250|5281.50|-11191.43
NULL|NULL|Clinton|Sunnyside|680376|744.27|-4295.70
NULL|NULL|Clinton|Valley View|169835|2907.10|-13991.46
NULL|NULL|Collinsville|Greenville|567555|1573.80|-5219.35
NULL|NULL|Concord|Greenfield|625297|3982.52|-11369.88
NULL|NULL|Crossroads|Belmont|85335|4546.07|-16685.98
NULL|NULL|Crossroads|Oak Hill|177551|148.67|-7789.70
NULL|NULL|Crossroads|Red Hill|456611|1075.97|-12344.60
NULL|NULL|Crossroads|Vista|140840|717.95|-4800.36
NULL|NULL|Crystal|Woodlawn|243716|2592.12|-4232.14
NULL|NULL|Deerfield|Crossroads|642323|5253.30|-4872.10
NULL|NULL|Deerfield|Waverly|126868|0.00|-4261.68
NULL|NULL|Doyle|Lebanon|678383|4.56|-14838.25
NULL|NULL|Edgewood|Buena Vista|548246|5246.08|-9468.52
NULL|NULL|Edgewood|Franklin|670103|1305.08|-12071.81
NULL|NULL|Edgewood|Pleasant Valley|673767|2159.52|-18996.20
NULL|NULL|Edgewood|Union Hill|192162|6962.94|-16838.04
NULL|NULL|Elizabeth|Kingston|215286|103.53|-3080.45
NULL|NULL|Elm Grove|Summit|110730|406.80|-7340.99
NULL|NULL|Enterprise|Sunnyside|642238|5380.69|-1993.02
NULL|NULL|Fairbanks|Oak Hill|133291|1193.92|-4867.00
NULL|NULL|Fairfield|Georgetown|504705|396.29|-12051.53
NULL|NULL|Fairfield|Globe|296378|12.76|-2272.78
NULL|NULL|Fairfield|Oakwood|416449|4323.83|-9219.43
NULL|NULL|Fairfield|Red Hill|559972|1323.68|-10083.77
NULL|NULL|Fairfield|Spring Hill|583543|3.37|-13697.75
NULL|NULL|Fairfield|Union Hill|680126|427.65|-6764.05
NULL|NULL|Fairfield|Woodlawn|212813|11580.34|-7651.40
NULL|NULL|Fairview|Cedar Grove|142121|2546.86|1441.90
NULL|NULL|Fairview|Stringtown|662893|370.41|-1656.08
NULL|NULL|Farmington|Oakland|547176|1125.93|-3631.14
NULL|NULL|Farmington|Salem|47682|2385.04|-14405.01
NULL|NULL|Farmington|Sheffield|402382|2509.31|-6782.58
