c_last_name|c_first_name|c_salutation|c_preferred_cust_flag|ss_ticket_number|cnt
NULL|NULL|NULL|NULL|796910|15
NULL|NULL|NULL|NULL|799580|15
NULL|NULL|NULL|NULL|1474587|15
NULL|NULL|NULL|NULL|1540874|15
NULL|NULL|NULL|NULL|1640440|15
NULL|NULL|NULL|NULL|1848574|15
NULL|NULL|NULL|NULL|1921610|15
NULL|NULL|NULL|NULL|2189917|15
NULL|NULL|NULL|NULL|2392890|15
NULL|NULL|NULL|Y|841959|15
NULL|NULL|NULL|Y|877055|15
NULL|NULL|NULL|Y|1254734|16
NULL|NULL|NULL|Y|1505645|15
NULL|NULL|NULL|Y|2147190|15
NULL|NULL|NULL|N|58614|15
NULL|NULL|NULL|N|77257|15
NULL|NULL|NULL|N|315598|15
NULL|NULL|NULL|N|1556442|16
NULL|NULL|NULL|N|1832611|16
NULL|NULL|NULL|N|1837617|15
NULL|NULL|NULL|N|2329537|15
NULL|NULL|Dr.|NULL|666477|16
NULL|NULL|Dr.|NULL|903150|16
NULL|NULL|Dr.|NULL|1158159|15
NULL|NULL|Dr.|Y|233945|15
NULL|NULL|Dr.|Y|2346993|15
NULL|NULL|Miss|NULL|1554060|16
NULL|NULL|Miss|N|1053621|15
NULL|NULL|Mr.|NULL|1009038|15
NULL|NULL|Mrs.|Y|1490044|15
NULL|NULL|Mrs.|N|692716|15
NULL|NULL|Mrs.|N|1213183|16
NULL|NULL|Ms.|N|901926|16
NULL|NULL|Sir|NULL|335692|16
NULL|NULL|Sir|Y|2170307|15
NULL|Amado|NULL|NULL|556856|15
NULL|Anna|NULL|N|933530|15
NULL|Anne|Dr.|NULL|617084|16
NULL|Arthur|Miss|NULL|855022|16
NULL|Christopher|Sir|NULL|814739|16
NULL|Elizabeth|NULL|Y|1926165|16
NULL|Jennifer|NULL|N|622534|15
NULL|John|NULL|NULL|1316210|16
NULL|John|Mr.|N|412714|15
NULL|Jose|NULL|N|706634|15
NULL|Josephine|NULL|Y|858711|15
NULL|Karl|Dr.|N|1927289|16
NULL|Kathrine|NULL|NULL|1996002|15
NULL|Kathy|NULL|N|427694|16
NULL|Louise|Ms.|NULL|236510|15
NULL|Margaret|Ms.|Y|658557|16
NULL|Michael|NULL|NULL|522868|16
NULL|Michelle|Miss|Y|467026|16
NULL|Nicole|Miss|N|7856|15
NULL|Patrick|Dr.|NULL|1851102|16
NULL|Patrick|Dr.|Y|699229|16
NULL|Paul|NULL|NULL|1231423|15
NULL|Reyna|NULL|N|2111578|16
NULL|Richard|NULL|NULL|864649|16
NULL|Richard|Sir|Y|326081|15
NULL|Robert|NULL|NULL|1764039|15
NULL|Theresa|Mrs.|NULL|1357239|15
NULL|Timothy|Dr.|N|1539219|16
NULL|Winston|NULL|NULL|1952240|15
Abel|Joseph|Dr.|N|1133101|15
Abreu|Julia|Mrs.|N|1369248|15
Acosta|Cheryl|Dr.|N|1285152|15
Adams|Caroline|Mrs.|Y|1976732|15
Adams|Chris|Dr.|N|655172|16
Adams|Jennifer|Miss|N|1164228|16
Aguilar|Mark|Mr.|Y|479783|15
Ahern|Julia|Miss|N|74071|15
Alexander|Alicia|Dr.|Y|320656|15
Alexander|Paulette|Dr.|Y|493371|15
Allen|Barbara|Miss|N|2258228|15
Allen|Christopher|Dr.|Y|54536|16
Allen|Jennifer|Dr.|Y|769746|15
Allen|Ruth|Miss|Y|171735|15
Allen|Trinity|Dr.|N|1269216|15
Allison|Tina|Ms.|N|1468994|15
Almeida|Geraldine|Miss|N|383438|15
Alston|Mona|Mrs.|N|1637918|15
Andersen|Stephanie|Miss|N|385438|15
Anderson|Annie|Ms.|Y|2182537|15
Anderson|Donald|Mr.|N|1722192|15
Anderson|Ernest|Dr.|Y|1816861|15
Anderson|Julia|Mrs.|Y|1460016|15
Anderson|Lucinda|Miss|N|1991423|16
Anderson|Mark|Sir|Y|1770210|15
Anderson|Rudy|Sir|Y|953833|15
Anderson|Russell|Dr.|Y|2258831|16
Anderson|Theodore|Mr.|N|2028569|15
Anderson|Vincent|Sir|Y|64767|16
Andre|Robert|Mr.|N|460901|15
Andrews|Everett|Mr.|Y|2234057|15
Armstrong|John|Sir|Y|1752099|15
Arnold|NULL|NULL|Y|1323568|15
Arnold|Deborah|Mrs.|N|2041603|16
Arnold|John|Sir|N|1440390|15
Asbury|Daniel|Dr.|Y|1492106|15
Ash|Jose|Sir|Y|1959664|15
Atkins|David|Sir|Y|1972454|15
Austin|Betty|Dr.|N|720734|15
Ayala|Katherine|Ms.|Y|2316376|16
Baca|Brenda|Mrs.|Y|381955|16
Bacon|Anthony|Ms.|Y|462382|16
Baez|Karole|Miss|Y|461310|15
Bailey|Angela|Mrs.|Y|863443|15
Bailey|Ben|Sir|Y|949211|15
Bailey|Meaghan|Miss|N|1324271|15
Bain|Ashley|Miss|N|1988899|15
Baker|Edgar|Sir|Y|1027374|16
Baker|Jennifer|Ms.|N|2197757|15
Baker|Marla|Mrs.|N|1787220|15
Baker|Stanley|Mr.|Y|2277384|16
Baker|Warren|Dr.|Y|1346853|15
Baldwin|Alice|Dr.|N|1095045|15
Ball|Evelyn|Dr.|Y|2291351|16
Banks|Jaime|Mr.|Y|1335919|15
Banks|Walter|Dr.|N|985766|15
Bankston|Janet|Ms.|Y|1392043|15
Barbee|Michael|Sir|Y|1319492|15
Barfield|Michael|Dr.|N|2048901|16
Barker|Robert|Dr.|N|1849810|16
Barkley|Edward|Mr.|N|763999|16
Barnard|Stella|Mrs.|N|1756267|15
Barnes|Francisco|Mr.|N|1053207|15
Barnes|Paul|Sir|N|1780994|15
Barnett|George|Dr.|Y|698001|15
Barnett|Joel|Dr.|Y|2347983|16
Baron|Rosie|Mrs.|N|355042|16
Barron|Justin|Sir|Y|1394291|15
Barron|Lisa|Miss|N|1263999|16
Bartlett|Daniel|Dr.|N|394762|15
Barton|Francisco|Sir|Y|1776809|16
Bass|Cynthia|Ms.|Y|27193|15
Bassett|Sharon|Ms.|Y|320231|15
Baxter|Ana|Miss|Y|2127537|15
Beane|Alice|Mrs.|Y|1727358|15
Beck|Walter|Mr.|Y|2205006|15
Belcher|Kathleen|Dr.|Y|738725|15
Bell|Clyde|Dr.|Y|1219737|15
Bell|Terry|Sir|N|939795|16
Beltran|Kris|Dr.|N|1206929|15
Benavides|Jay|Sir|Y|138617|15
Bennett|Clara|Dr.|N|2258472|15
Bennett|James|Mr.|Y|422021|15
Bennett|Kathleen|Dr.|Y|569368|15
Benoit|Betty|Dr.|Y|917516|15
Benson|Bonnie|Miss|Y|147148|15
Berg|Donald|Mr.|N|621453|16
Bergman|Brian|Mr.|Y|675701|15
Bernard|James|Dr.|Y|1696060|15
Bernhardt|Megan|Miss|N|614130|16
Berry|Jennifer|Miss|N|584586|15
Berryman|Hue|Mrs.|Y|782785|15
Bethea|Etta|Mrs.|N|1579270|15
Betts|Richard|Sir|NULL|135694|15
Bevins|Howard|Mr.|Y|1795253|15
Bishop|Suzanne|Dr.|Y|293802|15
Black|Betty|Dr.|Y|1130245|15
Black|Edgar|Mr.|N|1198524|15
Blackburn|Robert|Dr.|N|1188457|15
Blackwell|Candice|Dr.|Y|2087205|15
Blackwell|Teresa|Dr.|N|945205|15
Blakely|Leann|Mrs.|N|124398|16
Blalock|Marcella|Ms.|N|1712276|15
Blanchard|Natashia|Mrs.|N|448183|15
Bland|Debbie|Dr.|Y|2365512|16
Bland|Kathleen|Ms.|N|504249|15
Blue|Scott|Mr.|N|661832|15
Blum|Charles|Sir|Y|1907459|15
Blum|Peter|Mr.|Y|429418|16
Bogan|Arlene|Mrs.|N|342664|16
Bolden|Jeff|Mr.|Y|1169819|16
Bolt|Mario|Sir|N|2232850|16
Bolton|Grace|Mrs.|N|1665137|15
Boucher|James|Mr.|Y|90021|15
Bowen|Lonnie|Sir|Y|240542|15
Bowen|Thomas|Dr.|N|1587698|16
Bowie|Mabel|Ms.|Y|1152081|16
Bowling|Lottie|Dr.|Y|1715119|15
Bowman|Bobby|Sir|Y|1341781|16
Boyd|Tricia|Miss|Y|441463|15
Boyer|Douglas|Mr.|N|133003|16
Bradford|Glenda|Ms.|Y|283623|16
Bradley|Barbara|Miss|Y|5917|15
Bradley|Scott|Mr.|Y|2058073|15
Brady|Lee|Sir|Y|6311|15
Brady|Ryan|Dr.|N|1825023|15
Branch|Robert|Mr.|Y|112086|16
Brandt|Willard|Dr.|N|2249610|16
Brantley|Frank|Dr.|N|66867|15
Braun|Richard|Sir|N|2143898|15
Brennan|Warren|Sir|N|2026075|15
Bridges|Sandra|Mrs.|N|147095|16
Briggs|Anita|Mrs.|Y|670057|16
Bright|Dan|Sir|N|2371200|15
Bronson|Brenda|Ms.|Y|900485|16
Brooks|Laura|Mrs.|Y|300307|15
Brooks|Peter|Sir|Y|1422948|15
Brothers|Margo|Miss|N|1634559|15
Broussard|Lawrence|Dr.|Y|2122270|16
Brower|Donald|Dr.|N|163579|15
Brower|Katrina|Ms.|N|1678631|15
Brown|Betty|Dr.|Y|1385555|15
Brown|Gladys|Miss|Y|877615|15
Brown|Gwen|Ms.|N|990022|16
Brown|Jennifer|Mrs.|Y|1371251|15
Brown|Joseph|Mr.|Y|1781409|15
Brown|Leticia|Dr.|N|1160346|15
Brown|Lillian|Mrs.|Y|2232408|15
Brown|Linda|Ms.|N|386964|15
Brown|Mollie|Miss|N|1058679|16
Brown|Nathan|Mr.|Y|2229536|16
Brown|Pearl|Dr.|Y|1580919|15
Brown|Randal|Dr.|N|747638|16
Brown|Sarah|Dr.|N|57224|16
Brown|Stephanie|Miss|N|489727|16
Brown|Valerie|Miss|N|1273909|16
Bruce|Tom|Dr.|N|1969391|15
Bryan|Raymond|Mr.|Y|2285335|16
Bryant|NULL|Dr.|NULL|596676|16
Bryant|Edward|Dr.|Y|495209|15
Bryant|James|Sir|N|388862|15
Buck|Barbara|Mrs.|N|2236931|15
Bullock|Jacob|Mr.|Y|1942753|16
Bunn|Elaine|Miss|Y|789193|16
Burdick|David|Dr.|N|1408434|15
Burge|Howard|Mr.|N|2395820|15
Burgess|Traci|Dr.|Y|2392495|15
Burke|Betty|Mrs.|N|129179|15
Burks|Beverly|Miss|Y|1251304|15
Burns|Crystal|Mrs.|N|618029|15
Burns|Richard|Sir|Y|1442893|15
Burris|Bruce|Dr.|N|1932953|15
Burton|Vanessa|Mrs.|Y|932027|15
Bush|Paula|Ms.|Y|1432826|15
Butler|Dawn|Ms.|N|1571197|16
Butler|Richard|Sir|N|288356|15
Byers|Maurice|Mr.|Y|1699071|16
Byrd|NULL|Dr.|Y|1332501|15
Cabral|Laura|Ms.|Y|286708|15
Cabrera|Stephen|Sir|N|342815|16
Callaway|Carrie|Ms.|Y|611744|16
Calloway|Alfredo|Mr.|N|1517608|15
Camacho|Cathy|Ms.|Y|1603046|16
Camacho|Irene|Ms.|Y|363963|16
Cambell|Hugh|Sir|Y|454397|15
Cameron|Jerome|Sir|Y|2045153|16
Camp|Richard|Mr.|Y|1683293|15
Campbell|Antonio|Mrs.|N|380400|16
Campbell|Tanya|Ms.|Y|1319596|16
Campbell|Thomas|Dr.|Y|1645888|15
Cannon|Christina|Mrs.|N|2213042|15
Cannon|Devona|Mrs.|N|1812222|15
Cantu|Ilona|Ms.|Y|1483834|15
Carden|Phyllis|Ms.|Y|1449096|15
Carder|Joanne|Mrs.|Y|1439791|15
Cardwell|Albert|Ms.|Y|13775|15
Carey|Erica|Miss|Y|685133|16
Carlson|Cathy|Ms.|N|686263|15
Carmichael|Ronald|Dr.|N|535664|16
Carpenter|Ofelia|Mrs.|N|31118|15
Carr|NULL|Mr.|NULL|517623|15
Carr|Angela|NULL|N|1977675|16
Carr|Burl|Mr.|Y|1306480|16
Carroll|Frederick|Mr.|Y|56635|15
Carter|NULL|NULL|NULL|1055848|15
Carter|Carolyn|Dr.|N|1283370|16
Carter|Douglas|Dr.|Y|819336|16
Carter|Luis|Mr.|N|708172|15
Carter|Nancy|Miss|N|2356885|15
Caruso|Peggy|Dr.|N|813666|16
Carvalho|Greta|Mrs.|Y|2395128|15
Carver|Eleanor|Ms.|N|1392199|15
Case|Debora|Ms.|N|311402|15
Cash|Melvin|Sir|Y|1353860|15
Castellanos|Raul|Sir|N|634173|16
Cavazos|John|Mr.|Y|2160821|16
Cavazos|Mark|Sir|N|46947|15
Cerda|Eric|Sir|Y|1680607|15
Cervantes|Juan|Mr.|Y|1505063|15
Chambers|Darrell|Dr.|N|1746590|15
Chambers|Machelle|Miss|Y|1228190|15
Chaney|Doris|Miss|Y|1023618|15
Chang|Erik|Sir|Y|140138|15
Charles|Therese|Mrs.|N|2106436|15
Chase|Hazel|Dr.|N|1151333|15
Chavarria|Robert|Dr.|Y|733491|15
Chavez|Emma|Miss|Y|1584916|15
Chavez|Lisa|Ms.|N|340523|16
Chavez|Maurice|Mr.|Y|892258|15
Chavis|Anna|Dr.|Y|462584|15
Chen|Lisa|Miss|Y|1385153|16
Chong|James|Dr.|N|918736|15
Christensen|Winston|Sir|Y|37700|15
Christian|Keith|Mr.|Y|140438|16
Christian|Twila|Mrs.|Y|947353|15
