Call_Center|Call_Center_Name|Manager|Returns_Loss
AAAAAAAACAAAAAAA|Mid Atlantic|Felipe Perkins|1556.18
AAAAAAAAIAAAAAAA|California|Wayne Ray|1311.07
AAAAAAAAGBAAAAAA|Hawaii/Alaska_1|Travis Wilson|1128.36
AAAAAAAAOAAAAAAA|Mid Atlantic_1|Clyde Scott|1019.14
AAAAAAAAABAAAAAA|North Midwest_1|Timothy Bourgeois|875.35
AAAAAAAAEBAAAAAA|California_1|Jason Brito|785.78
AAAAAAAAABAAAAAA|North Midwest_1|Timothy Bourgeois|602.55
AAAAAAAADBAAAAAA|Pacific Northwest_1|Roderick Walls|512.24
AAAAAAAADBAAAAAA|Pacific Northwest_1|Roderick Walls|359.09
AAAAAAAANAAAAAAA|NY Metro_1|Jack Little|270.09
AAAAAAAANAAAAAAA|NY Metro_1|Jack Little|192.21
AAAAAAAABAAAAAAA|NY Metro|Bob Belcher|182.97
AAAAAAAAIAAAAAAA|California|Wayne Ray|137.67
AAAAAAAABAAAAAAA|NY Metro|Bob Belcher|117.80
AAAAAAAACAAAAAAA|Mid Atlantic|Felipe Perkins|107.45
AAAAAAAAOAAAAAAA|Mid Atlantic_1|Clyde Scott|101.84
