c_last_name|c_first_name|ca_city|bought_city|ss_ticket_number|extended_price|extended_tax|list_price
NULL|Cheryl|Harmony|Centerville|3681|21787.19|518.13|44890.81
NULL|NULL|Mount Vernon|Forest Hills|4001|14498.24|966.98|46497.03
NULL|Margaret|Walnut Grove|Jackson|7718|6471.94|231.31|13344.18
NULL|John|Greenwood|Centerville|24159|24087.46|1200.55|51305.29
NULL|Delilah|Glenwood|Summit|25572|31989.16|1762.02|55656.97
NULL|NULL|Ashland|Walnut Grove|53883|23832.80|1031.26|32052.94
NULL|Eleanor|Oakdale|Shady Grove|75563|8875.51|612.09|19830.07
NULL|Bettina|Glenwood|Macedonia|86605|13879.15|714.15|30343.29
NULL|Bryan|Stringtown|Sulphur Springs|88367|20861.17|1075.00|37249.85
NULL|NULL|Pleasant Hill|Riverview|89644|25331.97|1382.48|50286.40
NULL|Thomas|Oak Hill|Franklin|98714|29381.30|1402.93|63633.64
NULL|NULL|Sunnyside|Brownsville|99447|19107.25|810.71|32463.20
NULL|Joseph|Westminster|Oakland|111102|15021.27|300.27|36673.77
NULL|John|Newport|Oak Grove|123374|21712.42|1337.39|31640.02
NULL|Crystal|Woodlawn|Unionville|133136|15951.17|341.13|30764.94
NULL|Michael|Clifton|Pine Grove|137479|11741.49|484.47|35714.64
NULL|Robert|Arcola|Gary|144808|14955.60|796.42|48938.51
NULL|Mozella|Hillcrest|Marion|153538|19258.60|722.81|41563.62
NULL|Paul|Riverview|Mount Olive|155231|28051.89|1501.04|68744.43
NULL|NULL|Georgetown|Crossroads|174923|17133.91|313.95|51727.01
NULL|James|Enterprise|Pleasant Grove|179769|20294.32|731.54|46743.49
NULL|Sandra|Oakwood|Lucas|194833|13351.94|631.93|32498.21
NULL|Eric|Plainville|Hopewell|196593|5577.11|225.13|23911.97
NULL|NULL|Enterprise|Springdale|196857|10801.46|674.61|33684.10
NULL|NULL|White Oak|Glenwood|206301|20248.08|682.37|57143.50
NULL|NULL|Concord|Florence|208416|13799.39|636.60|38168.27
NULL|Helen|Lakeside|Highland Park|215247|10740.20|610.06|19313.94
NULL|Angelina|Jamestown|Greenfield|216789|26932.98|1047.14|49087.39
NULL|Douglas|Unionville|Pleasant Valley|218776|22822.92|884.66|42559.53
NULL|Lola|Lone Oak|Woodlawn|236446|26936.35|569.30|47517.79
NULL|John|Lincoln|Union|264336|32683.14|791.09|70142.60
NULL|Carl|Greenwood|Arlington|274236|23879.02|1142.47|43698.40
NULL|NULL|Lebanon|Woodrow|308548|17205.89|350.00|33472.05
NULL|NULL|Glendale|Lakeview|332097|28264.92|1849.05|64520.92
NULL|NULL|Oakland|Bridgeport|332170|30007.73|1119.36|46763.79
NULL|Lester|Sulphur Springs|Edgewood|343356|13205.66|420.53|29193.34
NULL|NULL|Oak Ridge|Newtown|351073|15760.52|629.65|35609.63
NULL|NULL|Woodville|Salem|352952|30153.60|697.28|71271.66
NULL|Margaret|Enterprise|Highland|359391|11000.33|151.01|34916.64
NULL|Andrew|Mountain View|Friendship|368742|19971.53|921.27|43550.04
NULL|Sandra|Jamestown|Lakeview|370840|10439.10|216.00|30714.11
NULL|Jacqueline|Valley View|Liberty|374051|18786.32|531.53|24426.98
NULL|NULL|Hillcrest|Glenwood|384925|17666.08|669.99|34109.98
NULL|NULL|Mount Vernon|Lakeville|395970|6151.90|166.80|24284.86
NULL|NULL|Oak Grove|Oakdale|401641|21282.49|663.72|52190.95
NULL|NULL|Arlington|Crossroads|423339|25284.19|1522.38|43108.26
NULL|Kathy|Woodland|Mount Olive|427694|19477.62|495.21|40358.12
NULL|NULL|Greenwood|Summit|431655|24644.45|913.95|45900.43
NULL|Sandra|Jamestown|Maple Grove|437006|43197.07|1899.76|76048.60
NULL|Shelley|Greenfield|Andover|466476|31999.78|969.70|43856.61
NULL|Michelle|New Town|Wildwood|467026|34362.87|1508.28|63951.51
NULL|Ahmad|Salem|Plainview|467477|15371.03|636.02|35797.83
NULL|Susan|Lakeview|Kingston|487923|22352.06|435.12|31422.63
NULL|Edna|Waterloo|Lincoln|489847|39588.89|1747.79|75588.61
NULL|Marilyn|Arlington|Liberty|491635|48158.34|2688.18|67799.93
NULL|Robert|Midway|Pine Grove|492362|9811.79|435.07|20027.43
NULL|Jessica|Summit|Woodville|500926|7000.93|205.96|25388.13
NULL|NULL|Johnsonville|Gary|510934|15634.40|689.99|34592.50
NULL|NULL|Sulphur Springs|Mount Vernon|515411|16682.07|983.14|45771.94
NULL|NULL|Woodlawn|Lakewood|520005|20224.61|767.55|62568.32
NULL|NULL|Lakeview|Pleasant Grove|521029|27592.17|1122.93|50326.37
NULL|Rafael|Springfield|Highland Park|581911|28795.03|1123.50|58087.38
NULL|NULL|Florence|Macedonia|584608|14126.69|765.95|39958.17
NULL|Cindy|Shiloh|Waterloo|584745|6761.61|503.25|27385.54
